A,POW V,POW I,CS V,CS R,B,POW V,POW I,CS V,CS R,C,POW V,POW I,CS V,CS R,D,POW V,POW I,CS V,CS R
,6,2.959,413.9,,,6,3.93,340,,,6,6.113,386.5,,,6,5.967,338.2,
,6.11,6.237,419.5,,,6.1,5.959,342.1,,,6.1,6.112,399.6,,,6.11,5.977,346.7,
,6.21,6.36,424.2,,,6.2,6.08,356.5,,,6.2,6.229,406.7,,,6.21,6.042,354.6,
,6.31,6.478,431.7,,,6.3,6.214,366.7,,,6.3,6.365,411.1,,,6.31,6.189,361.2,
,6.41,6.591,439.6,,,6.4,6.381,372.3,,,6.4,6.472,414.4,,,6.41,6.31,366.5,
,6.51,6.697,449,,,6.5,6.381,372.3,,,6.5,6.571,419.4,,,6.51,6.416,371.1,
,6.61,6.79,456.2,,,6.6,6.381,378.4,,,6.6,6.571,426.4,,,6.61,6.502,376.8,
,6.71,6.856,461.2,,,6.7,6.509,386.1,,,6.7,6.675,434.7,,,6.71,6.61,383.8,
,6.81,6.95,464.6,,,6.8,6.66,393.3,,,6.8,6.761,437.4,,,6.81,6.705,391.1,
,6.91,7.046,468,,,6.9,6.66,398.9,,,6.9,6.848,451.2,,,6.91,6.808,385.5,
,7.01,7.143,474.4,,,7,6.778,404.3,,,7,7.032,456,,,7.01,6.808,403.8,
,7.11,7.232,483,,,7.1,6.914,409.1,,,7.1,7.117,459.6,,,7.11,6.92,408.8,
,7.21,7.311,489.8,,,7.2,7.032,414.3,,,7.2,7.207,463.3,,,7.21,7.031,413.5,
,7.31,7.397,493.2,,,7.3,7.135,420.9,,,7.3,7.295,469.1,,,7.31,7.133,418.8,
,7.41,7.48,505.2,,,7.4,7.135,428.3,,,7.4,7.378,476.5,,,7.41,7.221,425.4,
,7.51,7.61,508.9,,,7.5,7.238,434.5,,,7.5,7.456,484.4,,,7.51,7.305,432.7,